Pais,Media,Desvio
Afghanistan,60.088235,2.272310
Albania,74.482353,1.081521
Algeria,74.211765,1.827851
Angola,55.741176,4.998477
Antigua and Barbuda,74.035294,0.789595
Argentina,75.464706,0.948027
Armenia,73.217647,0.940110
Australia,81.547059,0.999481
Austria,80.288235,1.018004
Azerbaijan,70.241176,1.991765
Bahamas,74.111765,1.297456
Bahrain,76.111765,1.933872
Bangladesh,69.105882,2.170245
Barbados,74.488235,0.662333
Belarus,70.252941,2.159553
Belgium,79.770588,0.995735
Belize,69.588235,0.568675
Benin,58.305882,1.787035
Bhutan,66.835294,2.804815
Bolivia (Plurinational State of),67.823529,2.619728
Bosnia and Herzegovina,75.770588,0.934165
Botswana,57.023529,6.602542
Brazil,72.758824,1.574450
Brunei Darussalam,75.852941,0.901709
Bulgaria,73.341176,1.039264
Burkina Faso,55.282353,3.398656
Burundi,56.005882,2.865509
Cabo Verde,71.417647,1.088569
Cambodia,64.729412,3.767159
Cameroon,53.917647,2.701902
Canada,81.064706,1.084620
Central African Republic,48.211765,2.675352
Chad,50.835294,2.027441
Chile,78.429412,0.766785
China,74.652941,1.216126
Colombia,73.270588,1.238008
Comoros,61.311765,1.503284
Congo,58.941176,4.022153
Costa Rica,78.700000,0.732442
Côte d'Ivoire,51.482353,1.825710
Croatia,76.264706,1.206327
Cuba,78.000000,0.749117
Cyprus,79.241176,0.964706
Czechia,77.105882,1.283135
Democratic People's Republic of Korea,69.217647,1.807577
Democratic Republic of the Congo,56.335294,2.809007
Denmark,79.041176,1.365998
Djibouti,60.476471,2.216391
Dominican Republic,71.405882,1.296362
Ecuador,75.005882,1.045140
Egypt,69.752941,0.543537
El Salvador,71.370588,1.588845
Equatorial Guinea,55.994118,2.161827
Eritrea,60.300000,4.750108
Estonia,74.423529,2.382418
Eswatini,50.264706,4.757649
Ethiopia,58.823529,4.871952
Fiji,68.764706,0.726750
Finland,79.764706,1.078638
France,81.029412,1.179115
Gabon,61.923529,2.405760
Gambia,59.282353,1.759423
Georgia,72.464706,0.690218
Germany,79.782353,0.875977
Ghana,60.258824,2.031533
Greece,80.017647,0.871264
Grenada,72.035294,1.030101
Guatemala,70.582353,1.653600
Guinea,55.464706,2.748035
Guinea-Bissau,55.870588,2.338367
Guyana,65.400000,0.615486
Haiti,59.947059,6.270483
Honduras,73.329412,1.282812
Hungary,73.958824,1.243363
Iceland,81.505882,0.824243
India,65.741176,1.992651
Indonesia,67.570588,1.129687
Iran (Islamic Republic of),72.958824,1.922639
Iraq,68.888235,1.860387
Ireland,79.594118,1.569365
Israel,80.717647,1.373375
Italy,81.494118,0.981278
Jamaica,74.252941,1.168266
Japan,82.758824,0.816779
Jordan,72.994118,0.817795
Kazakhstan,66.800000,2.422201
Kenya,59.658824,5.086552
Kiribati,64.864706,1.114050
Kuwait,73.894118,0.491661
Kyrgyzstan,68.364706,1.671541
Lao People's Democratic Republic,62.358824,2.467926
Latvia,72.323529,1.719962
Lebanon,75.188235,0.794749
Lesotho,49.929412,2.594738
Liberia,57.394118,3.955260
Libya,71.947059,0.714651
Lithuania,72.594118,1.344475
Luxembourg,80.682353,1.357435
Madagascar,62.452941,2.337701
Malawi,54.582353,6.266365
Malaysia,73.829412,0.872970
Maldives,74.923529,2.707621
Mali,53.723529,3.126270
Malta,80.005882,1.149153
Mauritania,61.788235,1.232349
Mauritius,72.923529,1.153271
Mexico,75.482353,0.599250
Micronesia (Federated States of),68.211765,0.931086
Mongolia,66.482353,2.433404
Montenegro,74.858824,1.224293
Morocco,72.888235,2.389901
Mozambique,53.535294,3.518178
Myanmar,63.764706,2.123244
Namibia,58.647059,4.008538
Nepal,66.488235,2.489007
Netherlands,80.205882,1.170455
New Zealand,80.500000,1.133449
Nicaragua,72.888235,1.839719
Niger,54.382353,3.726256
Nigeria,51.194118,2.556070
Norway,80.752941,1.124653
Oman,75.052941,1.300279
Pakistan,64.482353,1.208419
Panama,76.735294,0.765384
Papua New Guinea,63.947059,1.292566
Paraguay,72.782353,1.003661
Peru,73.876471,1.371787
Philippines,67.929412,0.820878
Poland,75.811765,1.190098
Portugal,79.388235,1.466040
Qatar,77.058824,0.592163
Republic of Korea,79.847059,1.932727
Republic of Moldova,69.247059,1.336421
Republic of North Macedonia,74.464706,0.902898
Romania,73.217647,1.436186
Russian Federation,67.929412,2.566014
Rwanda,58.257576,6.958188
Saint Lucia,73.829412,1.277297
Saint Vincent and the Grenadines,71.611765,0.520048
Samoa,72.523529,1.662928
Sao Tome and Principe,66.070588,1.837762
Saudi Arabia,73.664706,0.603852
Senegal,62.105882,3.286241
Serbia,74.464706,1.170189
Seychelles,72.341176,0.433941
Sierra Leone,46.788235,4.057220
Singapore,81.058824,1.350407
Slovakia,75.182353,1.267807
Slovenia,78.670588,1.606884
Solomon Islands,68.958824,1.417562
Somalia,52.811765,1.566518
South Africa,58.223529,3.121186
South Sudan,54.300000,2.798949
Spain,81.394118,1.235014
Sri Lanka,73.682353,1.603759
Sudan,62.223529,2.000744
Suriname,69.670588,1.423238
Sweden,81.158824,0.839509
Switzerland,81.852941,1.077097
Syrian Arab Republic,70.217647,4.963423
Tajikistan,68.641176,1.679656
Thailand,73.211765,1.592587
Timor-Leste,64.823529,3.238651
Togo,57.170588,2.031738
Tonga,72.494118,0.549300
Trinidad and Tobago,70.564706,0.815974
Tunisia,74.535294,0.913906
Turkey,73.782353,1.710258
